participant_id	visual_memory_evoke	visual_memory_autobiographical	visual_images_clarity	visual_images_over_words	visual_images_people	visual_images_to_memorize	visual_memories_prevalence	visual_images_thoughts	visual_images_inner_talk	visual_memory_fixed	verbal_reflection_innervoice	verbal_reflection_innervoice_walk	verbal_reflection_past_conversations	verbal_innervoice_help_thoughts	verbal_reflection_at_rest	verbal_reflection_societal_issue	verbal_reflection_pauses_tothink	verbal_reflection_innervoice_innerear	verbal_reflection_never_talk	verbal_reflection_tv	verbal_memories_prevalence	verbal_read_innervoice_innerear	orto_conversation_visualizewords	orto_reflection_visualizewords	orto_newperson_imaginename	orto_memories_imaginewords	verbal_reflection_liferecap	message_imagine_reply	geo_3d_shapes	sentence_slow_imagine_innerear	geo_school_grade	sensation_imagine	geo_problem_visualise	voice_morph	lexicon_rich	sound_morph	manipulationfactor	visualfactor	verbalfactor	orthographicfactor
sub-pp013	5	5	5	2	5	5	5	5	4	2	5	5	5	5	5	5	5	5	2	4	5	5	1	1	1	1	4	5	3	3	5	1	2	1	5	5	3.125	4.3	4.666666666666667	2.1666666666666665
sub-pp018	5	5	5	5	5	5	5	4	5	1	5	5	5	5	5	5	5	5	2	4	5	5	2	2	2	4	4	5	5	4	5	5	5	5	4	5	4.75	4.5	4.666666666666667	3.1666666666666665
sub-pp019	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	2	2	4	4	3	4	3	3	2	4	2	2	2.875	4.0	3.8333333333333335	3.333333333333333
sub-pp020	4	5	4	3	5	5	3	2	4	4	3	4	4	4	2	5	3	2	4	1	4	3	1	3	2	5	2	3	3	2	4	5	4	1	4	4	3.375	3.9	3.25	2.6666666666666665
sub-pp021	5	5	5	4	5	5	4	3	2	2	5	5	2	3	2	5	5	5	2	3	5	5	2	2	1	5	1	1	4	5	4	4	4	2	4	4	3.875	4.0	3.9166666666666665	2.0
sub-pp022	4	5	4	4	4	5	4	4	4	2	4	4	4	4	2	5	4	3	2	2	4	4	1	3	1	4	3	2	4	3	2	4	5	1	4	2	3.125	4.0	3.5	2.333333333333333
sub-pp023	4	5	4	5	5	4	4	4	4	3	4	4	4	4	1	4	3	1	4	3	3	3	2	2	1	2	3	5	3	4	2	4	4	4	3	4	3.5	4.2	3.1666666666666665	2.5
sub-pp024	4	5	4	3	5	4	4	4	2	2	4	4	4	3	2	4	4	4	3	2	4	4	2	2	3	4	4	4	4	3	4	4	4	4	4	4	3.875	3.7	3.5	3.1666666666666665
sub-pp025	4	4	2	4	5	3	5	5	4	3	4	4	4	4	3	4	5	4	1	3	5	4	2	2	2	2	4	4	4	4	4	4	4	4	3	3	3.75	3.9	3.75	2.6666666666666665
sub-pp026	4	4	4	2	4	3	2	2	2	2	4	4	4	4	4	5	2	4	2	2	2	4	4	3	4	4	2	2	4	4	4	4	5	2	4	4	3.875	2.9	3.4166666666666665	3.1666666666666665
sub-pp027	4	3	3	2	2	3	4	4	4	4	4	5	2	2	2	3	3	2	2	4	4	3	3	2	4	4	3	4	2	3	5	5	4	4	4	3	3.75	3.3	3.0	3.333333333333333
sub-pp030	5	5	4	3	5	4	5	5	3	3	4	4	3	4	4	4	3	3	3	2	3	5	1	1	1	2	1	4	4	1	5	1	4	2	4	5	3.25	4.2	3.5	1.6666666666666667
sub-pp031	5	5	4	4	4	4	4	4	2	2	4	5	4	4	4	4	4	5	4	5	3	5	2	1	2	3	1	3	4	5	5	5	5	3	3	5	4.375	3.8	4.25	2.0
sub-pp032	5	4	3	3	2	3	2	1	1	4	5	5	5	5	5	5	1	1	2	5	4	5	1	2	1	1	1	1	1	1	4	1	1	2	2	1	1.625	2.8	4.0	1.1666666666666667
sub-pp033	5	5	4	5	5	5	5	5	5	3	5	3	4	4	4	4	3	3	2	3	4	3	3	3	4	3	3	5	5	5	5	5	5	5	5	5	5.0	4.7	3.5	3.5
sub-pp035	5	4	4	5	4	4	5	3	5	5	5	5	4	5	5	5	3	5	2	4	3	5	1	3	4	3	5	4	2	4	4	4	2	1	5	5	3.375	4.4	4.25	3.333333333333333
sub-pp036	4	4	3	4	4	5	5	5	3	3	5	4	4	4	4	5	5	5	5	3	4	5	2	2	4	4	4	4	3	4	3	4	3	2	3	4	3.25	4.0	4.416666666666667	3.333333333333333
sub-pp038	4	4	3	3	2	2	3	4	2	2	5	5	4	4	4	5	5	3	4	4	4	5	1	1	1	2	5	5	3	4	4	4	3	2	5	4	3.625	2.9	4.333333333333333	2.5
sub-pp039	3	4	4	4	4	4	4	5	2	2	3	2	4	4	4	4	4	4	2	2	4	4	1	1	1	1	1	4	4	4	4	4	5	3	5	4	4.125	3.6	3.4166666666666665	1.5
sub-pp042	5	5	5	3	5	5	5	5	2	5	2	4	3	4	2	4	3	5	1	1	2	4	1	1	1	4	1	5	3	3	4	5	4	3	4	4	3.75	4.5	2.9166666666666665	2.1666666666666665
sub-pp043	4	4	3	4	5	4	4	3	2	3	4	4	4	3	2	3	3	4	4	2	3	4	1	1	1	4	1	3	3	4	4	4	3	4	3	5	3.75	3.6	3.333333333333333	1.8333333333333333
sub-pp044	3	4	2	4	2	3	4	5	2	4	2	1	4	3	1	5	1	4	2	1	4	4	5	5	5	5	1	4	5	5	5	5	5	2	4	4	4.375	3.3	2.6666666666666665	4.166666666666667
sub-pp045	5	5	4	4	5	5	5	4	4	3	4	4	4	3	2	2	2	4	4	4	4	4	1	4	5	4	3	4	4	4	2	3	4	4	3	5	3.625	4.4	3.4166666666666665	3.5
sub-pp046	4	5	4	3	4	4	2	4	2	4	5	5	3	5	5	3	4	4	4	4	4	4	4	2	5	4	5	5	3	3	2	4	4	4	5	4	3.625	3.6	4.166666666666667	4.166666666666667
sub-pp048	4	4	2	4	4	4	4	5	2	2	4	4	4	3	3	4	4	4	3	4	3	4	1	1	1	2	2	3	3	4	4	4	4	4	3	4	3.75	3.5	3.6666666666666665	1.6666666666666667
sub-pp050	5	5	5	5	1	3	5	3	2	2	5	4	4	5	5	5	1	5	3	2	2	5	2	1	1	5	2	4	5	3	5	5	5	1	4	2	3.75	3.6	3.8333333333333335	2.5
sub-pp052	3	5	5	4	5	5	4	3	4	2	2	3	2	3	1	3	4	4	4	1	2	4	1	3	4	1	4	4	4	3	2	4	4	3	3	5	3.5	4.0	2.75	2.833333333333333
sub-pp053	5	5	3	3	5	5	5	5	2	2	4	5	4	4	3	4	4	5	2	1	5	5	4	4	2	2	1	3	1	3	2	4	1	4	2	4	2.625	4.0	3.8333333333333335	2.6666666666666665
sub-pp054	4	4	3	3	4	3	4	5	4	4	3	2	2	3	3	2	4	4	2	3	2	4	1	1	1	1	2	1	2	3	3	4	3	4	4	4	3.375	3.8	2.833333333333333	1.1666666666666667
sub-pp067	5	5	5	4	4	5	5	5	4	3	5	5	5	5	4	5	4	5	4	2	3	3	3	1	4	2	1	4	5	2	5	5	5	2	4	5	4.125	4.5	4.166666666666667	2.5
sub-pp068	5	5	4	3	5	5	3	2	2	2	5	5	5	5	5	5	5	5	3	3	2	5	2	3	4	4	2	2	4	4	3	5	4	2	4	2	3.5	3.6	4.416666666666667	2.833333333333333
sub-pp069	5	5	4	4	4	5	5	5	4	2	5	3	4	3	3	5	5	4	5	3	4	4	2	2	5	3	3	2	2	5	3	5	3	1	4	5	3.5	4.3	4.0	2.833333333333333
sub-pp072	3	2	2	3	3	2	2	4	2	2	1	2	2	2	2	2	2	4	2	1	2	4	1	1	3	1	1	4	4	2	5	3	5	1	3	2	3.125	2.5	2.1666666666666665	1.8333333333333333
sub-pp073	5	4	4	5	4	5	5	5	5	5	5	5	5	5	3	5	4	3	4	2	3	4	3	3	5	5	4	4	4	3	4	5	4	3	4	2	3.625	4.7	4.0	4.0
sub-pp074	4	4	4	4	5	5	5	3	4	3	4	5	5	4	4	5	3	3	2	4	4	5	3	2	1	5	2	3	2	2	3	4	4	4	2	3	3.0	4.1	4.0	2.6666666666666665
sub-pp076	3	2	1	1	2	2	3	5	4	2	4	3	4	5	5	4	4	4	2	2	4	2	2	4	1	1	1	4	4	3	4	4	4	3	4	4	3.75	2.5	3.583333333333333	2.1666666666666665
sub-pp077	5	3	4	5	4	4	3	3	3	4	3	3	5	5	5	4	5	3	2	3	4	5	1	1	1	1	1	5	1	1	5	1	4	3	4	3	2.75	3.8	3.9166666666666665	1.6666666666666667
sub-pp078	2	4	2	2	2	2	2	2	4	4	4	5	5	5	5	5	4	4	2	2	4	4	2	2	2	2	2	4	4	4	4	4	4	3	4	4	3.875	2.6	4.083333333333333	2.333333333333333
sub-pp083	4	4	2	4	4	3	4	3	4	2	2	2	3	3	3	3	4	3	3	4	2	5	5	2	5	4	4	3	4	3	3	3	4	3	4	4	3.5	3.4	3.083333333333333	3.8333333333333335
sub-pp085	1	4	1	2	2	4	1	1	2	5	5	4	1	5	4	5	2	5	5	2	1	5	1	1	1	4	1	1	2	2	2	4	4	1	4	2	2.625	2.3	3.6666666666666665	1.5
sub-pp088	5	4	5	5	5	5	5	5	1	2	5	5	5	5	2	4	3	5	2	2	2	5	1	1	5	1	4	4	5	5	5	5	5	2	3	4	4.25	4.2	3.75	2.6666666666666665
sub-pp091	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	1	3	4	4	4	4	2	4	4	4	4	3	3	4	4	4	3	4	3.625	4.0	3.583333333333333	3.6666666666666665
sub-pp092	4	4	4	5	5	5	4	5	4	2	3	1	1	4	1	2	5	1	5	1	1	1	1	1	1	4	1	2	4	4	5	4	5	2	4	5	4.125	4.2	2.1666666666666665	1.6666666666666667
sub-pp093	4	2	4	5	2	4	4	5	2	5	4	5	4	3	4	5	4	3	4	4	4	4	1	1	1	2	2	3	3	1	4	4	4	1	3	3	2.875	3.7	4.0	1.6666666666666667
sub-pp094	4	4	4	3	3	5	5	4	4	3	5	5	3	5	5	5	5	4	3	5	3	3	2	2	2	2	2	2	4	2	3	4	4	3	2	2	3.0	3.9	4.25	2.0
sub-pp095	4	3	4	3	4	4	4	4	2	4	1	1	2	3	4	3	3	4	2	3	4	5	5	5	4	2	2	5	1	4	2	1	1	2	3	2	2.0	3.6	2.9166666666666665	3.8333333333333335
sub-pp099	4	5	4	4	3	5	5	5	5	2	2	4	4	4	2	2	2	2	5	2	4	2	2	4	2	2	5	5	5	3	4	2	2	4	2	4	3.25	4.2	2.9166666666666665	3.333333333333333
sub-pp105	5	5	4	3	5	3	5	3	4	3	4	5	4	4	3	4	4	5	3	3	3	5	2	1	5	4	2	1	5	3	4	5	5	5	4	5	4.5	4.0	3.9166666666666665	2.5
sub-pp106	4	5	2	5	4	5	5	5	4	5	3	3	4	4	3	3	4	3	2	3	3	5	5	5	5	4	3	5	5	5	5	5	5	2	3	2	4.0	4.4	3.333333333333333	4.5
sub-pp107	4	5	4	4	5	4	4	4	3	3	3	2	3	3	4	4	2	3	4	1	3	5	1	1	2	1	1	2	3	3	3	5	5	3	4	5	3.875	4.0	3.083333333333333	1.3333333333333333
sub-pp108	5	5	5	5	5	5	5	5	5	3	4	4	4	4	4	4	4	3	2	4	3	4	1	1	2	2	2	3	4	3	4	5	5	4	4	5	4.25	4.8	3.6666666666666665	1.8333333333333333
sub-pp110	5	5	5	5	5	5	5	5	5	2	5	5	4	5	2	5	4	5	4	2	4	5	2	5	4	4	3	5	5	5	5	5	5	5	2	5	4.625	4.7	4.166666666666667	3.8333333333333335
sub-pp111	2	4	2	1	5	1	4	4	1	4	5	1	5	2	1	2	4	1	1	1	4	1	4	1	4	2	1	1	1	1	1	1	1	4	5	2	2.0	2.8	2.333333333333333	2.1666666666666665
sub-pp112	4	5	1	4	5	4	4	3	4	2	4	4	4	3	2	4	2	2	2	1	4	3	1	1	1	2	2	4	2	4	2	2	2	2	2	4	2.5	3.6	2.9166666666666665	1.8333333333333333
sub-pp114	5	5	4	3	4	5	3	4	3	3	4	4	5	3	2	3	3	4	5	1	4	4	2	3	2	2	4	5	5	5	5	4	5	4	3	2	4.125	3.9	3.5	3.0
sub-pp115	2	4	4	3	4	3	4	2	3	2	4	4	4	4	4	4	4	2	2	2	3	2	2	2	3	3	3	4	3	4	2	2	2	4	2	4	2.875	3.1	3.25	2.833333333333333
sub-pp116	4	4	3	5	4	5	4	4	3	4	5	4	4	5	4	4	4	3	4	2	4	2	2	2	4	2	2	4	4	2	4	4	3	2	4	4	3.375	4.0	3.75	2.6666666666666665
sub-pp117	2	4	2	3	2	2	2	2	2	5	5	4	4	4	5	5	4	5	2	3	4	5	1	1	1	1	2	5	5	1	5	4	5	1	4	1	3.25	2.6	4.166666666666667	1.8333333333333333
sub-pp118	5	5	5	5	5	5	5	5	5	4	4	2	4	4	5	4	4	4	4	3	3	2	1	1	1	4	1	5	4	4	4	4	5	5	4	5	4.375	4.9	3.583333333333333	2.1666666666666665
sub-pp119	4	5	3	5	5	4	5	5	4	3	3	4	4	4	2	4	4	4	1	3	2	4	3	3	2	2	2	2	5	4	5	5	5	1	3	3	3.875	4.3	3.25	2.333333333333333
sub-pp120	5	5	4	2	4	5	5	5	4	2	5	5	5	5	5	5	5	5	3	4	4	5	1	1	2	4	4	5	5	4	5	4	5	3	4	1	3.875	4.1	4.666666666666667	2.833333333333333
sub-pp124	4	4	3	3	4	4	5	5	3	2	1	1	4	3	3	2	4	1	2	1	4	2	1	1	1	2	1	1	2	2	4	2	4	2	2	1	2.375	3.7	2.333333333333333	1.1666666666666667
sub-pp125	4	4	4	4	4	4	4	3	4	2	2	2	4	4	2	2	5	4	2	2	4	3	2	2	2	4	2	4	4	4	4	4	4	4	4	4	4.0	3.7	3.0	2.6666666666666665
sub-pp126	4	4	3	4	5	4	4	3	4	3	4	3	4	3	4	4	2	4	2	1	4	5	1	1	2	4	2	4	2	3	4	1	2	4	3	4	2.875	3.8	3.333333333333333	2.333333333333333
sub-pp127	5	5	5	5	5	5	5	5	5	5	5	3	5	3	5	2	4	2	3	3	4	2	4	2	2	4	4	4	4	1	3	1	5	1	3	1	2.375	5.0	3.4166666666666665	3.333333333333333
sub-pp128	4	5	4	4	4	4	4	4	4	4	4	5	4	5	3	4	4	3	1	2	4	4	2	3	2	2	4	5	3	4	4	4	2	2	3	3	3.125	4.1	3.583333333333333	3.0
sub-pp129	2	2	1	1	1	1	1	2	1	4	1	2	5	3	5	4	5	3	3	2	4	1	2	3	3	3	1	4	5	4	4	5	5	4	4	5	4.5	1.6	3.1666666666666665	2.6666666666666665
sub-pp133	4	4	3	2	4	4	4	4	4	3	3	4	3	4	2	4	3	4	2	4	3	4	2	2	4	3	3	4	4	3	4	4	4	3	3	4	3.625	3.6	3.333333333333333	3.0
sub-pp135	5	5	5	3	5	5	5	5	4	1	4	4	4	4	5	5	5	5	4	4	2	4	5	2	5	5	2	3	5	4	5	5	5	2	4	4	4.25	4.3	4.166666666666667	3.6666666666666665
sub-pp137	5	5	4	4	4	4	3	4	4	3	5	4	4	4	2	3	5	4	4	4	4	5	1	1	1	2	2	5	2	2	4	5	2	4	4	5	3.5	4.0	4.0	2.0
sub-pp145	4	4	4	4	4	4	4	4	4	4	4	3	4	4	2	3	3	3	4	1	3	4	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4.0	4.0	3.1666666666666665	2.0
sub-pp147	4	4	4	4	3	3	4	4	2	4	4	4	4	3	2	4	4	4	3	3	3	4	1	1	1	1	1	1	2	2	3	5	3	2	3	4	3.0	3.6	3.5	1.0
sub-pp149	4	4	3	3	2	3	3	3	2	3	4	4	4	4	2	4	4	4	2	2	3	4	1	1	3	4	2	4	5	5	4	5	5	4	3	4	4.375	3.0	3.4166666666666665	2.5
sub-pp150	4	5	4	2	5	4	4	3	4	4	5	5	5	3	5	4	4	5	5	3	4	4	1	1	1	1	2	2	4	3	5	5	5	4	1	2	3.625	3.9	4.333333333333333	1.3333333333333333
sub-pp151	4	4	4	3	3	4	3	4	4	2	5	5	5	5	5	5	4	5	3	3	4	5	2	2	1	4	1	4	3	2	4	5	3	2	3	2	3.0	3.5	4.5	2.333333333333333
sub-pp152	4	5	4	5	4	5	5	4	5	3	4	4	5	5	3	4	2	5	1	3	4	3	1	1	1	4	4	5	5	5	5	5	5	5	1	5	4.5	4.4	3.583333333333333	2.6666666666666665
sub-pp155	5	5	5	5	5	5	5	3	3	5	5	4	3	3	3	4	3	4	3	3	3	4	5	5	3	5	1	1	4	3	4	1	2	1	3	1	2.375	4.6	3.5	3.333333333333333
sub-pp156	4	4	3	4	5	3	3	3	4	2	4	4	3	4	3	5	4	3	3	4	3	3	2	2	3	2	3	2	3	4	4	4	3	4	3	4	3.625	3.5	3.583333333333333	2.333333333333333
sub-pp158	5	4	4	5	4	5	4	5	4	2	4	4	5	4	4	5	4	4	4	2	5	4	4	4	5	5	5	5	5	4	1	4	5	5	4	5	4.125	4.2	4.083333333333333	4.666666666666667
sub-pp159	5	5	4	5	3	5	4	5	3	1	5	5	4	5	3	5	5	5	3	3	4	5	4	2	3	1	1	5	4	3	4	5	4	1	3	1	3.125	4.0	4.333333333333333	2.6666666666666665
sub-pp160	4	5	3	4	4	4	3	3	4	3	5	4	4	4	3	4	3	3	2	3	4	3	2	3	2	2	3	3	3	2	4	2	4	2	4	3	3.0	3.7	3.5	2.5
sub-pp161	4	3	2	2	5	4	4	2	2	2	2	2	4	2	1	1	2	4	3	2	2	4	2	2	2	2	2	3	4	4	4	4	4	4	3	3	3.75	3.0	2.4166666666666665	2.1666666666666665
sub-pp162	5	5	4	4	4	4	4	5	4	2	4	3	4	3	2	3	3	4	5	1	4	4	1	1	1	5	1	5	3	3	5	5	2	5	4	4	3.875	4.1	3.333333333333333	2.333333333333333
sub-pp163	3	5	5	4	5	4	5	5	4	2	5	5	5	5	5	5	2	5	1	4	3	5	1	1	3	4	4	4	2	2	5	5	3	2	3	5	3.375	4.2	4.166666666666667	2.833333333333333
sub-pp164	4	5	4	1	4	4	3	3	5	2	5	4	3	5	5	4	4	5	2	3	4	5	2	1	1	4	3	4	3	4	1	4	2	5	5	4	3.5	3.5	4.083333333333333	2.5
sub-pp166	5	5	5	5	5	5	5	5	5	5	5	3	4	2	4	4	2	4	2	4	4	5	1	1	5	5	2	5	4	5	1	5	5	5	1	5	3.875	5.0	3.583333333333333	3.1666666666666665
sub-pp168	5	3	2	5	4	4	5	5	3	4	5	4	3	2	4	5	2	5	5	4	2	5	1	1	4	4	2	1	4	3	4	4	4	2	5	2	3.5	4.0	3.8333333333333335	2.1666666666666665
sub-pp169	5	4	3	2	4	4	5	5	4	5	5	4	4	4	4	4	4	5	3	4	4	4	2	1	3	3	2	4	4	3	4	5	4	2	4	3	3.625	4.1	4.083333333333333	2.5
sub-pp170	4	5	4	4	4	5	3	2	3	2	4	3	4	4	4	4	4	3	3	2	3	4	2	2	1	2	2	4	3	3	5	4	4	3	4	3	3.625	3.6	3.5	2.1666666666666665
sub-pp171	5	5	5	5	5	5	4	5	5	2	5	5	5	5	1	5	5	5	1	5	4	5	1	1	5	1	5	4	5	1	5	5	5	5	5	5	4.5	4.6	4.25	2.833333333333333
